title,iLibraryUrl,identifier,dateOfPublication
Funding Systems and their Effects on Higher Education Systems,education/funding-systems-and-their-effects-on-higher-education-systems_220244801417,220244801417,2007-03-20
Product Market Competition and Economic Performance in Japan,economics/product-market-competition-and-economic-performance-in-japan_222508788602,222508788602,2004-05-06
P-Star as an Indicator of Inflationary Pressure,economics/p-star-as-an-indicator-of-inflationary-pressure_821307064337,821307064337,1991-03-01
Intégration régionale en Asie du Sud-Est,development/integration-regionale-en-asie-du-sud-est_220214603427,220214603427,2009-02-01
Product Market Competition in the OECD Countries,economics/product-market-competition-in-the-oecd-countries_108734233645,108734233645,2007-09-17
"Competition, Innovation and Productivity Growth",economics/competition-innovation-and-productivity-growth_182144868160,182144868160,2002-01-17
How to Reform the Belgian Tax System to Enhance Economic Growth,economics/how-to-reform-the-belgian-tax-system-to-enhance-economic-growth_218662261017,218662261017,2009-12-18
Regulatory Institutions,governance/regulatory-institutions_241530366501,241530366501,2008-05-01
Private Pensions in OECD Countries,social-issues-migration-health/private-pensions-in-oecd-countries_664831631060,664831631060,1997-01-01
L'allégement de la dette au Club de Paris,development/l-allegement-de-la-dette-au-club-de-paris_380566408014,380566408014,1992-06-01
Happiness and Age Cycles - Return to Start...?,social-issues-migration-health/happiness-and-age-cycles-return-to-start_220573570724,220573570724,2009-11-18
Product Market Competition and Economic Performance in Switzerland,economics/product-market-competition-and-economic-performance-in-switzerland_336304241158,336304241158,2004-03-19
Recent Developments in OECD's International Macroeconomic Model,economics/recent-developments-in-oecd-s-international-macroeconomic-model_302480486632,302480486632,1987-06-01
Raising Economic Performance by Fostering Product Market Competition in Germany,economics/raising-economic-performance-by-fostering-product-market-competition-in-germany_870306864741,870306864741,2006-08-04
Future Prices and Availability of Transport Fuels,transport/future-prices-and-availability-of-transport-fuels_234584871680,234584871680,2007-12-01
La gestion du changement dans l'administration des pays de l'OCDE,governance/la-gestion-du-changement-dans-l-administration-des-pays-de-l-ocde_227138426766,227138426766,2008-12-01
Souplesse de la production et inflation,economics/souplesse-de-la-production-et-inflation_016221755377,016221755377,1983-04-01
Broadband and the Economy,science-and-technology/broadband-and-the-economy_230450810820,230450810820,2008-06-18
The Implementation and the Effects of Regulatory Reform,economics/the-implementation-and-the-effects-of-regulatory-reform_413754754615,413754754615,2000-06-22
Handbook on Hedonic Indexes and Quality Adjustments in Price Indexes,science-and-technology/handbook-on-hedonic-indexes-and-quality-adjustments-in-price-indexes_643587187107,643587187107,2004-10-08
The Policy Implications of Voice over Internet Protocol (VoIP),science-and-technology/the-policy-implications-of-voice-over-internet-protocol-voip_231664343117,231664343117,2006-02-13
Microeconometric Analysis of the Retirement Decision,economics/microeconometric-analysis-of-the-retirement-decision_572650601656,572650601656,1998-06-24
New Avenues of Value Creation in the Agro-Food Sector,,222568027765,2008-01-01
"India's Trade Integration, Realising the Potential",trade/india-s-trade-integration-realising-the-potential_224123212531,224123212531,2009-05-19
Macroeconomic Policies,development/macroeconomic-policies_546417808871,546417808871,2005-01-21
Broadband and Telephony Services Over Cable Television Networks,science-and-technology/broadband-and-telephony-services-over-cable-television-networks_232788646665,232788646665,2003-11-07
"Au Québec, une école énergétiquement ultra-performante",education/au-quebec-une-ecole-energetiquement-ultra-performante_630361350645,630361350645,2003-10-01
Examen de la qualité des bâtiments selon la méthode d'évaluation de fonctionnalité après emménagement,education/examen-de-la-qualite-des-batiments-selon-la-methode-d-evaluation-de-fonctionnalite-apres-emmenagement_685431424875,685431424875,2003-02-01
The Labour Market in Korea,economics/the-labour-market-in-korea_548701741108,548701741108,2005-12-16
Urban Trends and Policy in China,governance/urban-trends-and-policy-in-china_225205036417,225205036417,2009-03-25
Financer les objectifs du millénaire pour le développement,development/financer-les-objectifs-du-millenaire-pour-le-developpement_576638758354,576638758354,2004-04-06
Assessment of Learning Outcomes in Higher Education,education/assessment-of-learning-outcomes-in-higher-education_244257272573,244257272573,2008-02-29
Energy and Poverty in Africa,development/energy-and-poverty-in-africa_020412410348,020412410348,2005-05-01
OECD Reflections on the Benefits of Mobile Cellular Telecommunication Infrastructure Competition,science-and-technology/oecd-reflections-on-the-benefits-of-mobile-cellular-telecommunication-infrastructure-competition_237346446806,237346446806,1996-01-01
Biotechnology Statistics in OECD Member Countries,science-and-technology/biotechnology-statistics-in-oecd-member-countries_168436240651,168436240651,2000-09-08
"Trend in International Migration Flows and Stocks,1975-2005",social-issues-migration-health/trend-in-international-migration-flows-and-stocks-1975-2005_063461607124,063461607124,2007-09-27
Clearing the Air in India,development/clearing-the-air-in-india_088226224463,088226224463,2001-11-01
Exchange-Rate Management and Manufactured Exports in Sub-Saharan Africa,development/exchange-rate-management-and-manufactured-exports-in-sub-saharan-africa_211147404816,211147404816,1998-03-01
Take-Up of Welfare Benefits in OECD Countries,social-issues-migration-health/take-up-of-welfare-benefits-in-oecd-countries_525815265414,525815265414,2004-03-08
"Knowledge, Work Organisation and Economic Growth",social-issues-migration-health/knowledge-work-organisation-and-economic-growth_302147528625,302147528625,2001-06-05
La libéralisation de l'agriculture tunisienne et l'Union européenne,development/la-liberalisation-de-l-agriculture-tunisienne-et-l-union-europeenne_557216740816,557216740816,1999-02-01
Post Occupancy Evaluation in Scotland,education/post-occupancy-evaluation-in-scotland_603451846575,603451846575,2004-10-01
Economic Instruments in Environmental Policy,development/economic-instruments-in-environmental-policy_754416133402,754416133402,1994-01-01
The Costs of Reducing CO2 Emissions,economics/the-costs-of-reducing-co2-emissions_018813821426,018813821426,1992-01-01
The Human Dynamics of Aid,development/the-human-dynamics-of-aid_006726677165,006726677165,2005-06-01
Funding Rules and Actuarial Methods,finance-and-investment/funding-rules-and-actuarial-methods_274307371724,274307371724,2006-10-01
Survey of OECD Work on International Investment,finance-and-investment/survey-of-oecd-work-on-international-investment_506472485858,506472485858,1998-01-01
Indicators of Fiscal Policy,economics/indicators-of-fiscal-policy_021121358375,021121358375,1990-04-01
Encouraging Environmentally Sustainable Growth in Denmark,economics/encouraging-environmentally-sustainable-growth-in-denmark_616447850757,616447850757,2001-01-25
Banking on Development. Private Financial Actors and Donors in Developing Countries,development/banking-on-development-private-financial-actors-and-donors-in-developing-countries_242545377251,242545377251,2008-03-11
Measurement of Low Incomes and Poverty in A Perspective of International Comparisons,social-issues-migration-health/measurement-of-low-incomes-and-poverty-in-a-perspective-of-international-comparisons_112854878327,112854878327,1994-01-01
Security and Risk-Based Models in Shipping and Ports,transport/security-and-risk-based-models-in-shipping-and-ports_228863484281,228863484281,2008-12-02
Coherence of Development Policies,development/coherence-of-development-policies_221388758133,221388758133,2009-07-30
Les défis politiques de la globalisation et de la régionalisation,development/les-defis-politiques-de-la-globalisation-et-de-la-regionalisation_147464855838,147464855838,1996-06-01
Teacher Evaluation: Current Practices in OECD Countries and a Literature Review,education/teacher-evaluation-current-practices-in-oecd-countries-and-a-literature-review_223283631428,223283631428,2009-10-20
The Impact of Time on the Design of Learning Environments,education/the-impact-of-time-on-the-design-of-learning-environments_767544331426,767544331426,2001-10-01
Turkey's Basic Education Programme,education/turkey-s-basic-education-programme_862402283047,862402283047,2000-02-01
Libéralisation des échanges de services,trade/liberalisation-des-echanges-de-services_750376550000,750376550000,2004-03-29
Taux d'activité,economics/taux-d-activite_231035600311,231035600311,1984-01-01
Maintaining Switzerland's Top Innovation Capacity,economics/maintaining-switzerland-s-top-innovation-capacity_836517626128,836517626128,2006-05-31
More than T-shirts,development/more-than-t-shirts_243347268732,243347268732,2007-05-01
Importance of Oil Price in Freight Transport Costs,transport/importance-du-prix-du-petrole-dans-le-prix-du-transport-de-marchandises_235522325515,235522325515,2008-01-01
Tax Revenue Implications of the Real Exchange Rate,development/tax-revenue-implications-of-the-real-exchange-rate_171303142365,171303142365,1990-02-01
La norme du traitement juste et équitable dans le droit international des investissements,finance-and-investment/la-norme-du-traitement-juste-et-equitable-dans-le-droit-international-des-investissements_616018623408,616018623408,2004-09-01
Report on non-OECD Countries' Spam Legislation,science-and-technology/report-on-non-oecd-countries-spam-legislation_232723710504,232723710504,2004-04-30
Modelling the Supply Side of the Seven Major OECD Economies,economics/modelling-the-supply-side-of-the-seven-major-oecd-economies_067186103828,067186103828,1996-01-01
Venture Capital Policies in Sweden,science-and-technology/venture-capital-policies-in-sweden_784213407652,784213407652,2003-06-25
Promouvoir les avantages connexes liés à la biodiversité dans le cadre de la REDD,environment/promouvoir-les-avantages-connexes-lies-a-la-biodiversite-dans-le-cadre-de-la-redd_218787172420,218787172420,2009-12-16
Public Procurement,development/public-procurement_804363300553,804363300553,2003-03-01
Interconnection and Local Competition,science-and-technology/interconnection-and-local-competition_234147353518,234147353518,2001-02-07
"Migration, a Negative or a Positive Driver for Development?",development/migration-a-negative-or-a-positive-driver-for-development_244870766317,244870766317,2006-09-01
Toward a More Efficient Taxation System in New Zealand,economics/toward-a-more-efficient-taxation-system-in-new-zealand_176055857625,176055857625,2007-06-11
Globalisation and Labour Markets,social-issues-migration-health/globalisation-and-labour-markets_057638253043,057638253043,2007-11-09
Facilitating Trade and Structural Adjustment  the Philippines,trade/facilitating-trade-and-structural-adjustment-the-philippines_246265100044,246265100044,2007-10-29
The Macroeconomic Consequences of Banking Crises in OECD Countries,economics/the-macroeconomic-consequences-of-banking-crises-in-oecd-countries_226123651438,226123651438,2009-03-06
The Effectiveness of Public Expenditure in Portugal,economics/the-effectiveness-of-public-expenditure-in-portugal_636037755640,636037755640,2003-02-06
The Curse of Raw Materials?,development/the-curse-of-raw-materials_238338513586,238338513586,2008-09-01
Market Mechanisms in Public Service Provision,economics/market-mechanisms-in-public-service-provision_241001625762,241001625762,2008-08-04
"Household Wealth in the National Accounts of Europe, the United States and Japan",economics/household-wealth-in-the-national-accounts-of-europe-the-united-states-and-japan_466322268303,466322268303,2003-03-04
OECD's FDI Regulatory Restrictiveness Index,finance-and-investment/oecd-s-fdi-regulatory-restrictiveness-index_112474484663,112474484663,2006-12-01
An Assessment of the Performance of the Japanese Health Care System,social-issues-migration-health/an-assessment-of-the-performance-of-the-japanese-health-care-system_445332508603,445332508603,2001-12-06
Enhancing Market Openness through Regulatory Reform in the People's Republic of China,trade/enhancing-market-openness-through-regulatory-reform-in-the-people-s-republic-of-china_227270608758,227270608758,2008-12-18
School Evaluation,education/school-evaluation_218816547156,218816547156,2009-12-15
"Trends in Secretarial Occupations in Selected OECD Countries, 1980-95",social-issues-migration-health/trends-in-secretarial-occupations-in-selected-oecd-countries-1980-95_650807020330,650807020330,1997-01-01
Korea's School Grounds Projects,education/korea-s-school-grounds-projects_644833400124,644833400124,2003-10-01
Offensive and Defensive Responses by European Multinationals to a World of Trade Blocs,development/offensive-and-defensive-responses-by-european-multinationals-to-a-world-of-trade-blocs_145052815784,145052815784,1992-05-01
"The Dollar Position of the Non-U.S. Private Sector, Portfolio Effects, and the Exchange Rate of the Dollar",economics/the-dollar-position-of-the-non-u-s-private-sector-portfolio-effects-and-the-exchange-rate-of-the-dollar_450027436566,450027436566,1990-02-01
Saving Behaviour and the Effectiveness of Fiscal Policy,economics/saving-behaviour-and-the-effectiveness-of-fiscal-policy_335042602762,335042602762,2004-07-13
Should Measures of Fiscal Stance be Adjusted for Terms of Trade Effects?,economics/should-measures-of-fiscal-stance-be-adjusted-for-terms-of-trade-effects_416678318453,416678318453,2006-10-06
Tax Reform in OECD Countries,economics/tax-reform-in-oecd-countries_082177701741,082177701741,1987-08-01
Toward Risk-Based Aviation Security Policy,transport/toward-risk-based-aviation-security-policy_228687543564,228687543564,2008-11-01
Predicting The Evolution and Effects of The Asia Crisis from The OECD Perspective,economics/predicting-the-evolution-and-effects-of-the-asia-crisis-from-the-oecd-perspective_422426214244,422426214244,2000-04-06
Long-Term Capital Reflow Under Macroeconomic Stabilization in Latin America,development/long-term-capital-reflow-under-macroeconomic-stabilization-in-latin-america_751522750014,751522750014,1991-07-01
Reforming Turkey's Public Expenditure Management,economics/reforming-turkey-s-public-expenditure-management_312004242223,312004242223,2005-02-10
The Promotion of a Culture of Security for Information Systems and Networks in OECD Countries,science-and-technology/the-promotion-of-a-culture-of-security-for-information-systems-and-networks-in-oecd-countries_232017148827,232017148827,2005-02-16
Investment Regulations and Defined Contribution Pensions,finance-and-investment/investment-regulations-and-defined-contribution-pensions_222771401034,222771401034,2009-07-01
Évaluation de la fonctionnalité des bâtiments en Écosse,education/evaluation-de-la-fonctionnalite-des-batiments-en-ecosse_584356477845,584356477845,2004-10-01
Labour Market Flexibility in Estonia,economics/labour-market-flexibility-in-estonia_224177441445,224177441445,2009-05-11
The Labour Market Impact of Rapid Ageing of Government Employees,economics/the-labour-market-impact-of-rapid-ageing-of-government-employees_231461163325,231461163325,2005-09-06
Analysis of Non-Tariff Measures,trade/analysis-of-non-tariff-measures_650468803072,650468803072,2004-09-27
Boosting Competition in Ireland,economics/boosting-competition-in-ireland_741520025080,741520025080,2006-06-15
Sovereign Wealth and Pension Fund Issues,finance-and-investment/sovereign-wealth-and-pension-fund-issues_243287223503,243287223503,2008-01-01
The French Tax System,economics/the-french-tax-system_787686341561,787686341561,2005-07-28
The New Regionalism in Sub-Saharan Africa,development/the-new-regionalism-in-sub-saharan-africa_744208327104,744208327104,2002-05-06
Faciliter les échanges et l'ajustement structurel Chili,trade/faciliter-les-echanges-et-l-ajustement-structurel-chili_244287181455,244287181455,2008-01-10
Online Advertising and Marketing Directed Toward Children,science-and-technology/online-advertising-and-marketing-directed-toward-children_236506677507,236506677507,1999-11-30
Composite Indicators of Country Performance,science-and-technology/composite-indicators-of-country-performance_405566708255,405566708255,2003-11-12
Towards an East Asia Free Trade Area,development/towards-an-east-asia-free-trade-area_024060486456,024060486456,2004-03-01
The Development of Broadband Access in the OECD Countries,science-and-technology/the-development-of-broadband-access-in-the-oecd-countries_233822327671,233822327671,2001-10-29
"Market Structure, International Trade and Relative Wages",economics/market-structure-international-trade-and-relative-wages_778332675011,778332675011,1993-01-01
Coopération bilatérale pour combattre la fraude transfontière: l'expérience des Etats-Unis et du Canada,science-and-technology/cooperation-bilaterale-pour-combattre-la-fraude-transfontiere-l-experience-des-etats-unis-et-du-canada_233845487160,233845487160,2001-03-02
Foreign Direct Investment and International Trade,science-and-technology/foreign-direct-investment-and-international-trade_788565713012,788565713012,1999-10-14
Fighting Corruption in Customs Administration,development/fighting-corruption-in-customs-administration_023783627741,023783627741,2001-04-01
"Planning, Designing and Managing Higher Education Institutions",education/planning-designing-and-managing-higher-education-institutions_541370867752,541370867752,2005-10-01
L'environnement d'apprentissage,education/l-environnement-d-apprentissage_758818840411,758818840411,2001-10-01
Trade Strategies for the Southern Mediterranean,development/trade-strategies-for-the-southern-mediterranean_546501873371,546501873371,1997-12-01
Measuring Educational Productivity in Standards-Based Accountability Systems,education/measuring-educational-productivity-in-standards-based-accountability-systems_224417012465,224417012465,2005-12-16
Les bibliothèques et les centres de documentation de l'enseignement tertiaire,education/les-bibliotheques-et-les-centres-de-documentation-de-l-enseignement-tertiaire_508868635315,508868635315,1998-06-01
Old Age Income Maintenance,economics/old-age-income-maintenance_716044347442,716044347442,1991-04-01
La politique migratoire française à un tournant,social-issues-migration-health/la-politique-migratoire-francaise-a-un-tournant_111040348221,111040348221,2007-09-04
"Pensions, Purchasing-Power Risk, Inflation and Indexation",social-issues-migration-health/pensions-purchasing-power-risk-inflation-and-indexation_227182142567,227182142567,2009-01-28
Enhancing the Effectiveness of Public Expenditure in Sweden,economics/enhancing-the-effectiveness-of-public-expenditure-in-sweden_706857274877,706857274877,2002-12-10
Public Social Spending in Korea in the Context of Rapid Population Ageing,economics/public-social-spending-in-korea-in-the-context-of-rapid-population-ageing_241545746547,241545746547,2008-05-15
OECD Submission to the Irish National Minimum Wage Commission,social-issues-migration-health/oecd-submission-to-the-irish-national-minimum-wage-commission_501028262326,501028262326,1997-01-01
The Fallout from the Financial Crisis (2),development/the-fallout-from-the-financial-crisis-2_228156565412,228156565412,2008-12-01
A Cost-Benefit Framework for the Assessment of Non-Tariff Measures in Agro-Food Trade,agriculture-and-food/a-cost-benefit-framework-for-the-assessment-of-non-tariff-measures-in-agro-food-trade_220613725148,220613725148,2009-11-01
Getting the Most Out of Public-Sector Decentralisation in Korea,economics/getting-the-most-out-of-public-sector-decentralisation-in-korea_570027228062,570027228062,2005-12-16
Product Market Competition and Economic Performance in Hungary,economics/product-market-competition-and-economic-performance-in-hungary_222142524253,222142524253,2004-03-02
Tertiary Education Infrastructure in the United Kingdom,education/tertiary-education-infrastructure-in-the-united-kingdom_726666087038,726666087038,2002-10-01
Estimating the Pass-Through of Agricultural Policy Reforms,agriculture-and-food/estimating-the-pass-through-of-agricultural-policy-reforms_827275354437,827275354437,2005-11-01
Regulatory Reform and Market Openness,trade/regulatory-reform-and-market-openness_315070506641,315070506641,2004-12-15
Price Determination in the Major Seven Country Models in INTERLINK,economics/price-determination-in-the-major-seven-country-models-in-interlink_443241862143,443241862143,1987-07-01
Le campus « vert » de proximité du Queen Margaret University College (Royaume-Uni),education/le-campus-vert-de-proximite-du-queen-margaret-university-college-royaume-uni_380441277042,380441277042,2006-11-01
Enhancing Portugal's Human Capital,economics/enhancing-portugal-s-human-capital_871641300584,871641300584,2006-07-28
Economic Benefits of Investments in Transport Infrastructure,transport/economic-benefits-of-investments-in-transport-infrastructure_234665400468,234665400468,2007-12-01
Service Lives of Fixed Assets,economics/service-lives-of-fixed-assets_546835542570,546835542570,1983-03-01
Toward a Concept of Development Agreements,development/toward-a-concept-of-development-agreements_821180114212,821180114212,1991-08-01
"RFID Applications, Impacts and Country Initiatives",science-and-technology/rfid-applications-impacts-and-country-initiatives_230464075484,230464075484,2008-04-18
Options for Reforming the Spanish Tax System,economics/options-for-reforming-the-spanish-tax-system_406268363588,406268363588,2000-06-20
The Retirement Decision in OECD Countries,economics/the-retirement-decision-in-oecd-countries_565174210530,565174210530,1999-02-15
Le rééquilibrage entre le secteur public et le secteur privé,development/le-reequilibrage-entre-le-secteur-public-et-le-secteur-prive_682062580582,682062580582,1989-06-01
Overcoming Barriers to Competitiveness,development/overcoming-barriers-to-competitiveness_580345651778,580345651778,2004-12-01
Broadband Driving Growth,science-and-technology/broadband-driving-growth_232838768555,232838768555,2003-10-09
L'université de la Sierra au Mexique,education/l-universite-de-la-sierra-au-mexique_631254576040,631254576040,2003-10-01
Infrastructure Investment in Network industries,economics/infrastructure-investment-in-network-industries_225261508320,225261508320,2009-03-27
Fifteen Years of Economic Reform in Russia,economics/fifteen-years-of-economic-reform-in-russia_766476734748,766476734748,2005-05-13
"La gouvernance d'entreprise dans les pays en développement, en transition et les économies émergentes",development/la-gouvernance-d-entreprise-dans-les-pays-en-developpement-en-transition-et-les-economies-emergentes_583266834571,583266834571,2004-02-24
Governance and Investment of Public Pension Reserve Funds in Selected OECD Countries,finance-and-investment/governance-and-investment-of-public-pension-reserve-funds-in-selected-oecd-countries_244270553278,244270553278,2008-01-01
African Economic Performance in 2004,development/african-economic-performance-in-2004_022584484556,022584484556,2005-05-01
Democracy in (Latin) America,development/democracy-in-latin-america_245130057361,245130057361,2006-09-01
Payments for Goods and Services on the Information Superhighway,science-and-technology/payments-for-goods-and-services-on-the-information-superhighway_237354274358,237354274358,1996-01-01
The Impact of Public R&D Expenditure on Business R&D,science-and-technology/the-impact-of-public-r-d-expenditure-on-business-r-d_670385851815,670385851815,2000-06-14
Activation Policies in Norway,social-issues-migration-health/activation-policies-in-norway_226388712174,226388712174,2009-03-02
Income-Related Inequality in the Use of Medical Care in 21 OECD Countries,social-issues-migration-health/income-related-inequality-in-the-use-of-medical-care-in-21-oecd-countries_687501760705,687501760705,2004-05-11
What Institutional Framework for the Informal Sector?,development/what-institutional-framework-for-the-informal-sector_163720661354,163720661354,1995-10-01
Firms' Contribution to the Reconciliation between Work and Family Life,social-issues-migration-health/firms-contribution-to-the-reconciliation-between-work-and-family-life_344836028454,344836028454,2001-02-28
Fighting Extreme Poverty in Brazil,development/fighting-extreme-poverty-in-brazil_864833155654,864833155654,1998-11-01
School Property Funding in New Zealand,education/school-property-funding-in-new-zealand_606406460144,606406460144,2004-10-01
Transitional Problems from Reform to Growth,development/transitional-problems-from-reform-to-growth_267677618887,267677618887,1994-12-01
Composite Leading Indicators for Major OECD Non-Member Economies,economics/composite-leading-indicators-for-major-oecd-non-member-economies_834716666802,834716666802,2006-01-25
"GREEN a Multi-Sector, Multi-Region General Equilibrium Model for Quantifying the Costs of Curbing CO2 Emissions",economics/green-a-multi-sector-multi-region-general-equilibrium-model-for-quantifying-the-costs-of-curbing-co2-emissions_744101452772,744101452772,1992-01-01
The Information Content of the Term Structure of Interest Rates,economics/the-information-content-of-the-term-structure-of-interest-rates_748671027822,748671027822,1989-09-01
La crise financière et ses retombées (5),development/la-crise-financiere-et-ses-retombees-5_228037773460,228037773460,2008-12-01
Product and Labour Markets Interactions in OECD Countries,economics/product-and-labour-markets-interactions-in-oecd-countries_814240442882,814240442882,2001-12-14
Des donateurs traditionnels aux prêteurs émergents en Afrique,development/des-donateurs-traditionnels-aux-preteurs-emergents-en-afrique_242365476024,242365476024,2008-01-01
Prudent versus Imprudent Lending to Africa,development/prudent-versus-imprudent-lending-to-africa_242613675043,242613675043,2008-02-22
Factors Driving Risk Premia,economics/factors-driving-risk-premia_738228687051,738228687051,2004-04-29
The Economics of Climate Change Mitigation,economics/the-economics-of-climate-change-mitigation_228868001868,228868001868,2008-12-17
Are all Migrants Really Worse off in Urban Labour Markets?,development/are-all-migrants-really-worse-off-in-urban-labour-markets_221523621330,221523621330,2009-06-30
Price and Volume Elasticities of Brazilian Foreign Trade,economics/price-and-volume-elasticities-of-brazilian-foreign-trade_223388731464,223388731464,2009-07-03
Trade Policy,trade/trade-policy_182562483087,182562483087,2005-06-06
Services Trade Liberalisation,trade/services-trade-liberalisation_710267064875,710267064875,2004-02-06
The Demand for Money and Velocity in Major OECD Countries,economics/the-demand-for-money-and-velocity-in-major-oecd-countries_808007523862,808007523862,1984-02-01
L'utilisation des équipements scolaires en dehors des heures de classe,education/l-utilisation-des-equipements-scolaires-en-dehors-des-heures-de-classe_447654570616,447654570616,1999-06-01
Brazil's Fiscal Stance during 1995-2005,economics/brazil-s-fiscal-stance-during-1995-2005_857281763217,857281763217,2006-05-22
The Design of Effective Regulations of Transport,transport/the-design-of-effective-regulations-of-transport_235552611237,235552611237,2008-01-01
A Financial Computable General Equilibrium Model for the Analysis of Ecuador's Stabilization Programs,development/a-financial-computable-general-equilibrium-model-for-the-analysis-of-ecuador-s-stabilization-programs_436433611137,436433611137,1990-02-01
Digital Delivery of Business Services,science-and-technology/digital-delivery-of-business-services_232751878060,232751878060,2004-04-22
Trade and Competition,economics/trade-and-competition_448346818265,448346818265,1996-01-01
"Taxation, SMEs and Entrepreneurship",science-and-technology/taxation-smes-and-entrepreneurship_013245868670,013245868670,2002-08-09
Agricultural and Human Health Impacts of Climate Policy in China,development/agricultural-and-human-health-impacts-of-climate-policy-in-china_110657276654,110657276654,2003-03-01
"Minimum Wages, Minimum Labour Costs and the Tax Treatment of Low-Wage Employment",social-issues-migration-health/minimum-wages-minimum-labour-costs-and-the-tax-treatment-of-low-wage-employment_337686556262,337686556262,2007-01-31
Les nouveaux acteurs du financement de la santé,development/les-nouveaux-acteurs-du-financement-de-la-sante_038254514788,038254514788,2007-12-01
Addressing Labour Market Duality in Korea,social-issues-migration-health/addressing-labour-market-duality-in-korea_058184274204,058184274204,2007-10-05
Measuring Multifactor Productivity Growth,science-and-technology/measuring-multifactor-productivity-growth_246367010342,246367010342,2007-10-15
Achieving Fiscal Flexibility and Safeguarding Sustainability,economics/achieving-fiscal-flexibility-and-safeguarding-sustainability_226231818862,226231818862,2009-03-06
Female Labour Force Participation,economics/female-labour-force-participation_082872464507,082872464507,2003-12-12
A Farewell to Policy Conditionality?,development/a-farewell-to-policy-conditionality_238354283445,238354283445,2008-08-01
Labour Regulation and Employment Dynamics at the State Level in India,economics/labour-regulation-and-employment-dynamics-at-the-state-level-in-india_241014565862,241014565862,2008-08-04
Overview of Sustainable Development Indicators used by National and International Agencies,economics/overview-of-sustainable-development-indicators-used-by-national-and-international-agencies_838562874641,838562874641,2002-04-18
Issues of Dual Use and Reviewing Product Coverage of Environmental Goods,trade/issues-of-dual-use-and-reviewing-product-coverage-of-environmental-goods_113773714837,113773714837,2007-03-29
Towards More Choice in Social Protection?,social-issues-migration-health/towards-more-choice-in-social-protection_664178220717,664178220717,2001-09-18
Licensing Regulation and the Supervisory Structure of Private Pensions,finance-and-investment/licensing-regulation-and-the-supervisory-structure-of-private-pensions_227280580833,227280580833,2009-01-01
The Linkages between Open Services Markets and Technology Transfer,trade/the-linkages-between-open-services-markets-and-technology-transfer_723726052723,723726052723,2006-01-27
Lessons from the Family Planning Experience for Community-Based Environmental Education,development/lessons-from-the-family-planning-experience-for-community-based-environmental-education_460260405417,460260405417,1992-04-01
Innovation in the Business Sector,economics/innovation-in-the-business-sector_688727757285,688727757285,2005-12-02
Industrial Subsidies in the OECD Economies,economics/industrial-subsidies-in-the-oecd-economies_062357858637,062357858637,1990-01-01
The Government Household Transfer Data Base 1960-1984,economics/the-government-household-transfer-data-base-1960-1984_768882451333,768882451333,1986-09-01
Economic Impact Analysis of Terrorism Events,transport/economic-impact-analysis-of-terrorism-events_228775313070,228775313070,2008-11-01
The Polish Tax Reform,economics/the-polish-tax-reform_638712271244,638712271244,2000-03-17
"Capital Flows and the External Financing of Turkey's Imports (Special Series on Mixed Credits, in Collaboration with ICEPS)",development/capital-flows-and-the-external-financing-of-turkey-s-imports-special-series-on-mixed-credits-in-collaboration-with-iceps_428522687883,428522687883,1991-07-01
Évolution des technologies de la fibre et de l'investissement en ce domaine,science-and-technology/evolution-des-technologies-de-la-fibre-et-de-l-investissement-en-ce-domaine_230507280164,230507280164,2008-07-15
Global Opportunities for Internet Access Developments,science-and-technology/global-opportunities-for-internet-access-developments_230536236463,230536236463,2008-02-04
Structural Policy Reforms and External Imbalances,economics/structural-policy-reforms-and-external-imbalances_874440708453,874440708453,2005-01-24
Biometric-based Technologies,science-and-technology/biometric-based-technologies_232075642747,232075642747,2004-06-30
Economic Growth and the Role of Taxation - Aggregate Data,economics/economic-growth-and-the-role-of-taxation-aggregate-data_222781828316,222781828316,2009-07-15
Ten Years of Product Market Reform in OECD Countries,economics/ten-years-of-product-market-reform-in-oecd-countries_224255001640,224255001640,2009-04-23
Addressing Market-Access Concerns of Developing Countries arising from Environmental and Health Requirements,trade/addressing-market-access-concerns-of-developing-countries-arising-from-environmental-and-health-requirements_680373044623,680373044623,2004-09-24
The Role of National Qualifications Systems in Promoting Lifelong Learning,education/the-role-of-national-qualifications-systems-in-promoting-lifelong-learning_224841854572,224841854572,2003-09-30
The Effects of EMU on Structural Reforms in Labour and Product Markets,economics/the-effects-of-emu-on-structural-reforms-in-labour-and-product-markets_830757326248,830757326248,2005-07-25
"Health, Education and Poverty Reduction",development/health-education-and-poverty-reduction_764315057662,764315057662,2002-02-18
Faciliter les échanges et l'ajustement structurel,trade/faciliter-les-echanges-et-l-ajustement-structurel_244313266478,244313266478,2008-02-14
Facilitating Trade and Structural Adjustment  Ecuador,trade/facilitating-trade-and-structural-adjustment-ecuador_244323141371,244323141371,2008-01-31
La crise financière et ses retombées (4),development/la-crise-financiere-et-ses-retombees-4_228036683878,228036683878,2008-12-01
A Global Action Plan for Electronic Commerce,science-and-technology/a-global-action-plan-for-electronic-commerce_236544834564,236544834564,1999-10-01
Monetary Policy and Macroeconomic Stability in Latin America,economics/monetary-policy-and-macroeconomic-stability-in-latin-america_285851107845,285851107845,2007-02-14
Comparing Labour Productivity Growth in the OECD Area,science-and-technology/comparing-labour-productivity-growth-in-the-oecd-area_126534183836,126534183836,2003-12-12
